Category,Subcategory,Feature,Feature ID,Feature Type
Category 13,Subcategory 13.2,Feature 0440,440,Objective
Category 13,Subcategory 13.2,Feature 0234,234,Objective
Category 13,Subcategory 13.2,Feature 0069,69,Objective
Category 13,Subcategory 13.2,Feature 0404,404,Objective
Category 13,Subcategory 13.2,Feature 0446,446,Objective
Category 13,Subcategory 13.2,Feature 0351,351,Objective
Category 13,Subcategory 13.2,Feature 0062,62,Objective
Category 13,Subcategory 13.3,Feature 1058,1058,Objective
Category 13,Subcategory 13.3,Feature 1031,1031,Objective
Category 13,Subcategory 13.3,Feature 0038,38,Objective
Category 13,Subcategory 13.3,Feature 0417,417,Objective
Category 13,Subcategory 13.3,Feature 0144,144,Objective
Category 13,Subcategory 13.3,Feature 0360,360,Objective
Category 13,Subcategory 13.3,Feature 0206,206,Objective
Category 13,Subcategory 13.3,Feature 0022,22,Objective
Category 13,Subcategory 13.1,Feature 0233,233,Objective
Category 13,Subcategory 13.1,Feature 0434,434,Objective
Category 13,Subcategory 13.1,Feature 0462,462,Objective
Category 13,Subcategory 13.1,Feature 0001,1,Objective
Category 15,Subcategory 15.1,Feature 0137,137,Objective
Category 15,Subcategory 15.1,Feature 0182,182,Objective
Category 15,Subcategory 15.1,Feature 0483,483,Objective
Category 15,Subcategory 15.1,Feature 0087,87,Objective
Category 15,Subcategory 15.2,Feature 0086,86,Objective
Category 15,Subcategory 15.2,Feature 0171,171,Objective
Category 15,Subcategory 15.3,Feature 0041,41,Objective
Category 14,Subcategory 14.1,Feature 0454,454,Hybrid
Category 14,Subcategory 14.1,Feature 1080,1080,Hybrid
Category 14,Subcategory 14.1,Feature 0115,115,Hybrid
Category 14,Subcategory 14.1,Feature 0255,255,Hybrid
Category 14,Subcategory 14.3,Feature 0427,427,Hybrid
Category 14,Subcategory 14.3,Feature 0043,43,Hybrid
Category 14,Subcategory 14.3,Feature 0111,111,Hybrid
Category 14,Subcategory 14.2,Feature 0129,129,Hybrid
Category 14,Subcategory 14.2,Feature 0432,432,Hybrid
Category 14,Subcategory 14.2,Feature 1030,1030,Hybrid
Category 14,Subcategory 14.2,Feature 0149,149,Hybrid
Category 14,Subcategory 14.2,Feature 0105,105,Hybrid
Category 14,Subcategory 14.2,Feature 0089,89,Hybrid
Category 14,Subcategory 14.4,Feature 0455,455,Hybrid
Category 14,Subcategory 14.4,Feature 1014,1014,Hybrid
Category 14,Subcategory 14.4,Feature 1028,1028,Hybrid
Category 14,Subcategory 14.4,Feature 0381,381,Hybrid
Category 21,Subcategory 21.1,Feature 0518,518,Hybrid
Category 21,Subcategory 21.1,Feature 0471,471,Hybrid
Category 21,Subcategory 21.2,Feature 0099,99,Hybrid
Category 21,Subcategory 21.2,Feature 0068,68,Hybrid
Category 21,Subcategory 21.2,Feature 0468,468,Hybrid
Category 21,Subcategory 21.2,Feature 0478,478,Hybrid
Category 21,Subcategory 21.3,Feature 0309,309,Hybrid
Category 21,Subcategory 21.3,Feature 0395,395,Hybrid
Category 21,Subcategory 21.3,Feature 0382,382,Hybrid
Category 11,Subcategory 11.1,Feature 0243,243,Hybrid
Category 11,Subcategory 11.1,Feature 0362,362,Hybrid
Category 11,Subcategory 11.1,Feature 0187,187,Hybrid
Category 11,Subcategory 11.1,Feature 0180,180,Hybrid
Category 11,Subcategory 11.1,Feature 0444,444,Hybrid
Category 11,Subcategory 11.2,Feature 1020,1020,Hybrid
Category 11,Subcategory 11.2,Feature 1011,1011,Hybrid
Category 11,Subcategory 11.2,Feature 1067,1067,Hybrid
Category 11,Subcategory 11.2,Feature 1034,1034,Hybrid
Category 11,Subcategory 11.3,Feature 0178,178,Hybrid
Category 11,Subcategory 11.3,Feature 1023,1023,Hybrid
Category 11,Subcategory 11.3,Feature 0298,298,Hybrid
Category 11,Subcategory 11.3,Feature 1061,1061,Hybrid
Category 03,Subcategory 03.2,Feature 0093,93,Hybrid
Category 03,Subcategory 03.2,Feature 0411,411,Hybrid
Category 03,Subcategory 03.2,Feature 1016,1016,Hybrid
Category 03,Subcategory 03.4,Feature 0304,304,Hybrid
Category 03,Subcategory 03.4,Feature 0122,122,Hybrid
Category 03,Subcategory 03.4,Feature 0131,131,Hybrid
Category 03,Subcategory 03.1,Feature 1046,1046,Hybrid
Category 03,Subcategory 03.1,Feature 0288,288,Hybrid
Category 03,Subcategory 03.1,Feature 0039,39,Hybrid
Category 03,Subcategory 03.1,Feature 0152,152,Hybrid
Category 03,Subcategory 03.3,Feature 0177,177,Hybrid
Category 03,Subcategory 03.3,Feature 0400,400,Hybrid
Category 03,Subcategory 03.3,Feature 0450,450,Hybrid
Category 12,Subcategory 12.3,Feature 0355,355,Hybrid
Category 12,Subcategory 12.3,Feature 0141,141,Hybrid
Category 12,Subcategory 12.3,Feature 1078,1078,Hybrid
Category 12,Subcategory 12.3,Feature 0044,44,Hybrid
Category 12,Subcategory 12.3,Feature 1081,1081,Hybrid
Category 12,Subcategory 12.3,Feature 0419,419,Hybrid
Category 12,Subcategory 12.3,Feature 1003,1003,Hybrid
Category 12,Subcategory 12.3,Feature 0374,374,Hybrid
Category 12,Subcategory 12.1,Feature 0507,507,Hybrid
Category 12,Subcategory 12.1,Feature 1079,1079,Hybrid
Category 12,Subcategory 12.1,Feature 0258,258,Hybrid
Category 12,Subcategory 12.1,Feature 1041,1041,Hybrid
Category 12,Subcategory 12.1,Feature 0482,482,Hybrid
Category 12,Subcategory 12.1,Feature 0006,6,Hybrid
Category 12,Subcategory 12.1,Feature 0116,116,Hybrid
Category 12,Subcategory 12.1,Feature 0331,331,Hybrid
Category 12,Subcategory 12.2,Feature 1007,1007,Hybrid
Category 12,Subcategory 12.2,Feature 0201,201,Hybrid
Category 12,Subcategory 12.2,Feature 0366,366,Hybrid
Category 12,Subcategory 12.2,Feature 0519,519,Hybrid
Category 12,Subcategory 12.2,Feature 0437,437,Hybrid
Category 19,Subcategory 19.2,Feature 0119,119,Hybrid
Category 19,Subcategory 19.2,Feature 0293,293,Hybrid
Category 19,Subcategory 19.2,Feature 0052,52,Hybrid
Category 19,Subcategory 19.2,Feature 0279,279,Hybrid
Category 19,Subcategory 19.2,Feature 0107,107,Hybrid
Category 19,Subcategory 19.1,Feature 0084,84,Hybrid
Category 19,Subcategory 19.1,Feature 0438,438,Hybrid
Category 19,Subcategory 19.1,Feature 0420,420,Hybrid
Category 19,Subcategory 19.1,Feature 0125,125,Hybrid
Category 19,Subcategory 19.1,Feature 0078,78,Hybrid
Category 19,Subcategory 19.3,Feature 0425,425,Hybrid
Category 19,Subcategory 19.3,Feature 0338,338,Hybrid
Category 19,Subcategory 19.3,Feature 0215,215,Hybrid
Category 19,Subcategory 19.3,Feature 0192,192,Hybrid
Category 19,Subcategory 19.3,Feature 0259,259,Hybrid
Category 19,Subcategory 19.3,Feature 0367,367,Hybrid
Category 19,Subcategory 19.3,Feature 0315,315,Hybrid
Category 19,Subcategory 19.3,Feature 0496,496,Hybrid
Category 18,Subcategory 18.4,Feature 0181,181,Hybrid
Category 18,Subcategory 18.4,Feature 0211,211,Hybrid
Category 18,Subcategory 18.4,Feature 1037,1037,Hybrid
Category 18,Subcategory 18.4,Feature 0262,262,Hybrid
Category 18,Subcategory 18.3,Feature 0077,77,Hybrid
Category 18,Subcategory 18.3,Feature 0295,295,Hybrid
Category 18,Subcategory 18.3,Feature 0221,221,Hybrid
Category 18,Subcategory 18.1,Feature 0431,431,Hybrid
Category 18,Subcategory 18.1,Feature 1050,1050,Hybrid
Category 18,Subcategory 18.1,Feature 0488,488,Hybrid
Category 18,Subcategory 18.1,Feature 0118,118,Hybrid
Category 18,Subcategory 18.1,Feature 0308,308,Hybrid
Category 18,Subcategory 18.1,Feature 0028,28,Hybrid
Category 18,Subcategory 18.2,Feature 1015,1015,Hybrid
Category 18,Subcategory 18.2,Feature 1052,1052,Hybrid
Category 18,Subcategory 18.2,Feature 0218,218,Hybrid
Category 10,Subcategory 10.2,Feature 0220,220,Hybrid
Category 10,Subcategory 10.2,Feature 0318,318,Hybrid
Category 10,Subcategory 10.2,Feature 1055,1055,Hybrid
Category 10,Subcategory 10.2,Feature 0284,284,Hybrid
Category 10,Subcategory 10.2,Feature 0388,388,Hybrid
Category 10,Subcategory 10.4,Feature 0162,162,Hybrid
Category 10,Subcategory 10.4,Feature 0242,242,Hybrid
Category 10,Subcategory 10.4,Feature 0053,53,Hybrid
Category 10,Subcategory 10.4,Feature 0250,250,Hybrid
Category 10,Subcategory 10.4,Feature 0387,387,Hybrid
Category 10,Subcategory 10.4,Feature 1076,1076,Hybrid
Category 10,Subcategory 10.4,Feature 0061,61,Hybrid
Category 10,Subcategory 10.3,Feature 0190,190,Hybrid
Category 10,Subcategory 10.3,Feature 1074,1074,Hybrid
Category 10,Subcategory 10.3,Feature 0337,337,Hybrid
Category 10,Subcategory 10.3,Feature 0460,460,Hybrid
Category 10,Subcategory 10.1,Feature 1091,1091,Hybrid
Category 10,Subcategory 10.1,Feature 1077,1077,Hybrid
Category 10,Subcategory 10.1,Feature 0371,371,Hybrid
Category 10,Subcategory 10.1,Feature 0292,292,Hybrid
Category 10,Subcategory 10.1,Feature 0467,467,Hybrid
Category 05,Subcategory 05.1,Feature 0354,354,Subjective
Category 05,Subcategory 05.1,Feature 0157,157,Subjective
Category 05,Subcategory 05.1,Feature 0473,473,Subjective
Category 05,Subcategory 05.2,Feature 0004,4,Subjective
Category 05,Subcategory 05.2,Feature 0341,341,Subjective
Category 05,Subcategory 05.2,Feature 0154,154,Subjective
Category 05,Subcategory 05.2,Feature 0379,379,Subjective
Category 05,Subcategory 05.3,Feature 0398,398,Subjective
Category 05,Subcategory 05.3,Feature 0445,445,Subjective
Category 05,Subcategory 05.3,Feature 0106,106,Subjective
Category 06,Subcategory 06.2,Feature 0447,447,Subjective
Category 06,Subcategory 06.2,Feature 0092,92,Subjective
Category 06,Subcategory 06.1,Feature 0517,517,Subjective
Category 06,Subcategory 06.1,Feature 0026,26,Subjective
Category 20,Subcategory 20.1,Feature 0501,501,Hybrid
Category 20,Subcategory 20.1,Feature 1008,1008,Hybrid
Category 20,Subcategory 20.1,Feature 0383,383,Hybrid
Category 20,Subcategory 20.1,Feature 1056,1056,Hybrid
Category 20,Subcategory 20.1,Feature 1048,1048,Hybrid
Category 20,Subcategory 20.2,Feature 0470,470,Hybrid
Category 20,Subcategory 20.2,Feature 0228,228,Hybrid
Category 20,Subcategory 20.2,Feature 0169,169,Hybrid
Category 20,Subcategory 20.2,Feature 0127,127,Hybrid
Category 20,Subcategory 20.2,Feature 0364,364,Hybrid
Category 20,Subcategory 20.2,Feature 0359,359,Hybrid
Category 20,Subcategory 20.2,Feature 0299,299,Hybrid
Category 16,Subcategory 16.1,Feature 0439,439,Hybrid
Category 16,Subcategory 16.1,Feature 0175,175,Hybrid
Category 16,Subcategory 16.1,Feature 0449,449,Hybrid
Category 16,Subcategory 16.2,Feature 0491,491,Hybrid
Category 16,Subcategory 16.2,Feature 0196,196,Hybrid
Category 07,Subcategory 07.3,Feature 0504,504,Subjective
Category 07,Subcategory 07.3,Feature 1039,1039,Subjective
Category 07,Subcategory 07.3,Feature 0142,142,Subjective
Category 07,Subcategory 07.3,Feature 0368,368,Subjective
Category 07,Subcategory 07.3,Feature 0477,477,Subjective
Category 07,Subcategory 07.3,Feature 0521,521,Subjective
Category 07,Subcategory 07.2,Feature 0163,163,Subjective
Category 07,Subcategory 07.2,Feature 0191,191,Subjective
Category 07,Subcategory 07.2,Feature 1032,1032,Subjective
Category 07,Subcategory 07.1,Feature 0021,21,Subjective
Category 07,Subcategory 07.1,Feature 0294,294,Subjective
Category 07,Subcategory 07.1,Feature 0145,145,Subjective
Category 07,Subcategory 07.1,Feature 0042,42,Subjective
Category 07,Subcategory 07.1,Feature 0416,416,Subjective
Category 07,Subcategory 07.4,Feature 0335,335,Subjective
Category 07,Subcategory 07.4,Feature 0239,239,Subjective
Category 07,Subcategory 07.4,Feature 0133,133,Subjective
Category 17,Subcategory 17.1,Feature 0083,83,Hybrid
Category 17,Subcategory 17.1,Feature 0076,76,Hybrid
Category 17,Subcategory 17.1,Feature 0317,317,Hybrid
Category 17,Subcategory 17.1,Feature 0475,475,Hybrid
Category 17,Subcategory 17.1,Feature 0075,75,Hybrid
Category 17,Subcategory 17.1,Feature 0305,305,Hybrid
Category 17,Subcategory 17.2,Feature 0156,156,Hybrid
Category 17,Subcategory 17.2,Feature 0183,183,Hybrid
Category 17,Subcategory 17.2,Feature 0378,378,Hybrid
