imdb_id,year,rating,language,content_category,decade,label_lang_rating,label_lang_rating_decade
tt0000679,1908,Unknown,None,Unknown,1900,None - Unknown,None - Unknown - 1900s
tt0003740,1914,Not Rated,Italian,Unknown,1910,Italian - Unknown,Italian - Unknown - 1910s
tt0005059,1915,Unknown,None,Unknown,1910,None - Unknown,None - Unknown - 1910s
tt0005078,1915,Not Rated,English,Unknown,1910,English - Unknown,English - Unknown - 1910s
tt0005808,1915,Unknown,None,Unknown,1910,None - Unknown,None - Unknown - 1910s
tt0006517,1915,Unknown,None,Unknown,1910,None - Unknown,None - Unknown - 1910s
tt0006736,1916,Unknown,None,Unknown,1910,None - Unknown,None - Unknown - 1910s
tt0006886,1916,Not Rated,None,Unknown,1910,None - Unknown,None - Unknown - 1910s
tt0008735,1917,Not Rated,None,Unknown,1910,None - Unknown,None - Unknown - 1910s
tt0008807,1917,Unknown,None,Unknown,1910,None - Unknown,None - Unknown - 1910s
tt0008854,1918,Approved,None,Unknown,1910,None - Unknown,None - Unknown - 1910s
tt0009677,1918,Unknown,None,Unknown,1910,None - Unknown,None - Unknown - 1910s
tt0009900,1919,Unrated,None,Unknown,1910,None - Unknown,None - Unknown - 1910s
tt0010281,1918,Not Rated,None,Unknown,1910,None - Unknown,None - Unknown - 1910s
tt0010323,1920,Not Rated,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0010849,1919,Unknown,None,Unknown,1910,None - Unknown,None - Unknown - 1910s
tt0011157,1920,Not Rated,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0011387,1920,Not Rated,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0011565,1920,Passed,English,Unknown,1920,English - Unknown,English - Unknown - 1920s
tt0012349,1921,Passed,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0013075,1922,Passed,English,Unknown,1920,English - Unknown,English - Unknown - 1920s
tt0013140,1922,Not Rated,English,Unknown,1920,English - Unknown,English - Unknown - 1920s
tt0013201,1922,Passed,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0013442,1922,Not Rated,German,Unknown,1920,German - Unknown,German - Unknown - 1920s
tt0013572,1922,Unknown,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0014142,1923,Passed,English,Unknown,1920,English - Unknown,English - Unknown - 1920s
tt0014532,1923,Passed,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0014586,1924,Not Rated,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0014646,1924,Not Rated,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0014770,1923,Unrated,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0015163,1924,Unrated,English,Unknown,1920,English - Unknown,English - Unknown - 1920s
tt0015167,1924,Not Rated,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0015175,1924,Not Rated,German,Unknown,1920,German - Unknown,German - Unknown - 1920s
tt0015324,1924,Passed,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0015624,1925,Not Rated,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0015864,1925,Approved,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0016185,1925,Unknown,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0016361,1925,Unknown,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0016473,1925,Passed,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0016481,1925,Passed,German,Unknown,1920,German - Unknown,German - Unknown - 1920s
tt0016629,1926,Unknown,English,Unknown,1920,English - Unknown,English - Unknown - 1920s
tt0016832,1926,Passed,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0017075,1927,Not Rated,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0017120,1926,Passed,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0017132,1926,Passed,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
tt0017136,1927,Passed,German,Unknown,1920,German - Unknown,German - Unknown - 1920s
tt0017374,1926,Passed,None,Unknown,1920,None - Unknown,None - Unknown - 1920s
