imdb_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Rating_Internet_Movie_Database,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,_fetch_date,_poster_path,Rating_Rotten_Tomatoes,Rating_Metacritic
tt11137336,The Beauty,2016,N/A,10 Sep 2016,N/A,Romance,Chih-Yu Hung,"Yung-Kun Chu, Pin-Chieh Huang","Kai-wei Chiu, Grace Kwan-Hing Wong, Cindy Yen","Three women decide to change their careers and lifestyles by seducing a man who can take care of them financially. When one of them catches his attention, the other two become jealous of her.",Mandarin,Taiwan,N/A,N/A,4.8/10,N/A,4.8,7,tt11137336,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:05.503254,,,
tt1309557,Eamon,2009,N/A,05 Feb 2010,86 min,"Comedy, Romance",Margaret Corkery,Margaret Corkery,"Robert Donnelly, Amy Kirwan, Darren Healy","A family holiday brings to a head the destructive love triangle between Eamon, a little boy with behavioral problems, his selfish mother Grace and his sexually frustrated father Daniel.",English,Ireland,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BMzc0ZWJjNDAtN2Y2ZC00YmRlLTljNzEtMzliZWIyYTYwMDM4XkEyXkFqcGdeQXVyNjY3MTA4MjI@._V1_SX300.jpg,6.0/10,N/A,6.0,143,tt1309557,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:06.852699,extra_data/posters/tt1309557.jpg,,
tt0038504,Earl Carroll Sketchbook,1946,Approved,22 Aug 1946,90 min,"Comedy, Music, Romance",Albert S. Rogell,"Frank Gill Jr., Parke Levy","Constance Moore, William Marshall, Bill Goodwin","Songwriter Tyler Brice makes a handsome living composing jingles for radio commercials, much to the dismay of his loyal secretary, Pamela Thayer, who thinks that Ty is wasting his talent. Ty reminds Pam, who once aspired to a career as a professional singer, that she, too, is caught in the ""jingle jungle,"" which keeps her employed. Ty also tries to stem Pam's jealousy as he pays an increasing amount of attention to Lynn Stafford, an attractive advertising executive who is interested in more than Ty's songs. Pam and Ty's flirtatious, sparring relationship has never blossomed into a full-blown romance, but Pam keeps hoping that someday Ty will stop taking her for granted. Pam's roommate, Sherry Lane, pays little attention to Pam's complaints, as she feels that Ty is not good enough for Pam. Sherry, who is a costume designer for the prestigious Earl Carroll's Sketchbook musical revue on Broadway, also refuses to help when Pam asks her to give Carroll some of Ty's songs. Sherry explains that Carroll is on a South American tour and suggests that Pam try for herself. Pam then goes to the theater, where harried stage manager Rick Castle misunderstands her intentions when she sings one of Ty's songs, and instead of buying the song, offers Pam a job as a featured singer. Sherry quickly accepts the offer for Pam, but before Pam can tell Ty the good news, she is angered when she sees him kissing Lynn. As Pam is leaving Ty's apartment, she is hit by a car, and although she is not seriously hurt, the doctor's warning about potential amnesia gives her an idea. Telling Sherry that she wants to teach Ty a lesson, Pam pretends to have amnesia and tells the worried Ty that she does not know who he is. Castle, who is developing feelings for Pam himself, overhears the two women discussing their scheme but plays along by sending Pam to mind-reader Milo Edwards, who pretends to be a psychiatrist. Time passes as Pam devotes herself to rehearsals, and Ty, who now realizes how much Pam means to him, tries to help her regain her memory. Pam finally succumbs to Ty's romantic attentions, but more complications ensue when one of his songs, pushed by Pam, is incorporated in the ""Vanities"" by Castle, even though Ty has used the melody for a jingle for radio sponsor John Clark. Castle, who believes that Pam wrote the tune, tells Ty about the amnesia ruse and makes him think that Pam did it to escape from him. Disillusioned, Ty breaks with Pam, and on opening night, the heartbroken Pam confesses to Castle that Ty is the real author of the song. Realizing that Pam is still in love with Ty, Castle assures her that all will be well, then hides from Clark's lawyer, John Hawks, who attempts to serve him with a summons to prevent the revue from using Ty's song in the finale. The show starts as planned and is a huge success, and as the finale begins, Sherry brings Ty backstage. Moved by Pam's performance of his song, Ty tears up the legal documents and kisses Pam when she finishes singing.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOGJiNjljYmMtY2YwYi00YTM2LWJiNGQtYTEwMTMwZjkxNjNhXkEyXkFqcGdeQXVyMjM5NTI4Mzc@._V1_SX300.jpg,6.9/10,N/A,6.9,22,tt0038504,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:08.135958,extra_data/posters/tt0038504.jpg,,
tt3297804,Art Idol,2012,N/A,31 May 2012,90 min,"Comedy, Drama, Romance",Aekasit Sompech,N/A,"Pongtap Anurat, Kornkamol Chareoncha, Pilasinee Pichaikulworasiri","Art is a young boy looking for fame, but he is uncertain if he has the talents for that. Foon, a young girl is completely the opposite of Art. She knows what she wants and is reaching her goal, but she has feelings towards Art, but will Art know it?",Thai,Thailand,N/A,https://m.media-amazon.com/images/M/MV5BNzcyNDQzMTMtNzNmYS00Y2FiLWJkYzEtNWIyMGFhMmFjZjQ3XkEyXkFqcGdeQXVyMTk3NTc0MTk@._V1_SX300.jpg,6.4/10,N/A,6.4,45,tt3297804,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:09.425775,,,
tt0140917,O Corpo Ardente,1966,N/A,01 May 1968,85 min,"Drama, Romance",Walter Hugo Khouri,Walter Hugo Khouri,"Barbara Laage, Mário Benvenutti, Pedro Paulo Hatheyer","Márcia is a married woman with a son. She finds that her husband has an affair. She cheats him too and decides to go to Itaipava with her son. A black horse, free in the fields, attracts her. In the end, she comes back home and memories come back while watching the footage made by her son.",Portuguese,Brazil,N/A,https://m.media-amazon.com/images/M/MV5BOWJhZGNhZTAtOWExMC00NmNhLTgxY2QtZWMxOTg2Y2NmMjQwXkEyXkFqcGdeQXVyODY5NzM4Nzc@._V1_SX300.jpg,6.9/10,N/A,6.9,95,tt0140917,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:10.717605,extra_data/posters/tt0140917.jpg,,
tt0169253,Songs and Saddles,1938,Approved,01 Jun 1938,59 min,"Action, Adventure, Crime",Harry L. Fraser,"Arthur A. Brooks, Harry L. Fraser","Gene Austin, Lynne Berkeley, Henry Roquemore","Standard oater with a plot line of a local schemer and his henchies trying to beat an old rancher out of his unknown-to-him valuable property, which sets where a new highway is going to be built. Well, maybe not so standard, since it was usually a railroad that was planned. The producers (Max and Arthur Alexander) and Associate Producer (their cousin Alfred Stern)didn't make this on a budget that allowed for rental of ties, tracks and locomotives, so opted for highway construction and having to only rent a Caterpillar tractor for the construction scene. The fictional Gene Austin (played by the real Gene Austin) is the fictional foster son of a fictional rancher and comes to the fictional Sage City to lend a hand against the baddies. Austin (aided by Coco &amp; Candy, whose character names aren't Coco and Candy in the film)plays the piano and sings five songs he wrote---""Song of the Saddle""; ""I'm Coming Home""; ""I Fell Down and Broke My Heart (in Two)""; ""Why Can't I Be Your Sweetheart, Tonight"" and ""The Man From Texas""---and they are passable, for fans of Austin's singing style. The trouble comes when Austin takes to the saddle. That isn't a pretty sight.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTA4ZTcwZDctMDlhMS00ZWFiLTk3ZjEtMjk5NmM0NWY4YjViXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,4.8/10,N/A,4.8,54,tt0169253,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:12.015553,extra_data/posters/tt0169253.jpg,,
tt2527256,My Cornerstone,2013,N/A,12 Jun 2013,119 min,"Comedy, Drama, Romance",Stanley Joseph,"Stanley Joseph (story), James Morcan (screenplay)","Zenia Starr, Romin Khan, James Morcan, Savita Starr",A young Indian nurse moves to Sydney where she's placed in the household of a wealthy Indian-Australian family and given the task of caring for an elderly lady.,"English, Hindi","Australia, India",N/A,https://m.media-amazon.com/images/M/MV5BMTM3MjkyNjk3MF5BMl5BanBnXkFtZTcwNTExNDA0OQ@@._V1_SX300.jpg,6.8/10,N/A,6.8,25,tt2527256,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:13.504777,extra_data/posters/tt2527256.jpg,,
tt4556662,Further Ed,2017,N/A,30 Jan 2017,93 min,"Comedy, Romance",George Webster,George Webster,"Josh Campbell, Zoe Croft, David Fricker","A young, vibrant, character driven comedy set against the backdrop of a British University. Two students decide to make their own unique brand of L.S.D to pay off their tuition fees, and ultimately try and stay in school.",N/A,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BNmRiNGFhNWItNjYwMS00YjM3LTk5MzEtZGU2NjRkNDRlNDFkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzA1NjgzNDI@._V1_SX300.jpg,6.7/10,N/A,6.7,41,tt4556662,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:14.791798,,,
tt0032629,In Old Missouri,1940,Approved,17 Apr 1940,68 min,"Adventure, Comedy, Drama",Frank McDonald,"Dorrell McGowan, Stuart E. McGowan","Leon Weaver, Frank Weaver, June Weaver",The Weavers play sharecroppers. They confront their landlord with their tale of woe only to find he is in money trouble too. He also has a wastrel son and a socialite wife who wants a divorce. He begs the Weavers to trade places with him and fix things up.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjdmOTBiMGItNWFmZC00ZmZiLWFjNmQtMzVmMjE2Y2YzYjFhXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,5.9/10,N/A,5.9,38,tt0032629,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:16.095608,,,
tt0021030,Knowing Men,1930,N/A,01 Feb 1930,95 min,"Comedy, Romance",Elinor Glyn,"Elinor Glyn, Edward Knoblock","Carl Brisson, Elissa Landi, Helen Haye",An heiress poses as a marquise's companion to avoid fortune hunters.,English,United Kingdom,N/A,N/A,,N/A,N/A,N/A,tt0021030,movie,N/A,N/A,N/A,N/A,True,2026-02-18T00:22:17.188930,,,
