tt_code,primary_cluster,primary_probability,secondary_cluster,secondary_probability,sub_cluster,rail_label,cluster_name,cluster_description,sub_cluster_name,umap_x,umap_y
tt0000679,-1,0.0,11,0.03194561324365182,-1,Outlier,,,,8.799827,11.169882
tt0003740,18,0.8288411306435333,18,0.1727346776513577,-1,Leaders and Aristocrats → (sub-outlier),Leaders and Aristocrats,Films about powerful leaders and their struggles with morality and class.,(sub-outlier),9.173158,10.395207
tt0005059,12,0.7772212727358659,19,0.02223037154571095,0,War and Mourning Films → Healing Through Relationships,War and Mourning Films,Characterized by somber narratives exploring the human cost of war and conflict.,Healing Through Relationships,9.85223,10.385939
tt0005078,-1,0.0,24,0.036721117180771264,-1,Outlier,,,,10.941486,8.227604
tt0005808,38,1.0,42,1.5693779959522223e-307,-1,High-Stakes Espionage Thrillers → (sub-outlier),High-Stakes Espionage Thrillers,"Characterized by intricate plots, high-octane action sequences, and morally complex protagonists.",(sub-outlier),12.806908,6.238078
tt0006517,12,1.0,19,1.301112852318602e-307,-1,War and Mourning Films → (sub-outlier),War and Mourning Films,Characterized by somber narratives exploring the human cost of war and conflict.,(sub-outlier),9.834066,10.52695
tt0006736,0,0.5887905639810587,4,0.002204242582137782,-1,American Frontier Epics → (sub-outlier),American Frontier Epics,"Films that explore the rugged American West and its people through action, adventure, and personal quests.",(sub-outlier),-6.063983,9.997764
tt0006886,29,1.0,22,2.5458421504193608e-307,-1,European Police Thrillers → (sub-outlier),European Police Thrillers,Characterized by intellectual complexity and suspenseful plot twists.,(sub-outlier),10.361571,7.065297
tt0008735,-1,0.0,25,0.02916073150778391,-1,Outlier,,,,10.488034,9.097588
tt0008807,12,0.4603760304862859,19,0.04570715087051932,1,War and Mourning Films → East Asian War Epics,War and Mourning Films,Characterized by somber narratives exploring the human cost of war and conflict.,East Asian War Epics,9.666952,10.589398
tt0008854,-1,0.0,34,0.02138706044592348,-1,Outlier,,,,8.617466,7.501339
tt0009677,-1,0.0,18,0.025626223319042837,-1,Outlier,,,,10.141386,9.365559
tt0009900,0,0.9547242295329211,4,0.0009774892861520547,-1,American Frontier Epics → (sub-outlier),American Frontier Epics,"Films that explore the rugged American West and its people through action, adventure, and personal quests.",(sub-outlier),-6.08639,9.970444
tt0010281,-1,0.0,23,0.049027140511860835,-1,Outlier,,,,11.1,8.561125
tt0010323,-1,0.0,35,0.039508423528874785,-1,Outlier,,,,8.871171,6.342213
tt0010849,-1,0.0,23,0.0475216228343666,-1,Outlier,,,,11.174965,8.593625
tt0011157,-1,0.0,27,0.05346629818556418,-1,Outlier,,,,11.258337,8.58848
tt0011387,10,1.0,18,1.891542954156206e-307,-1,Medieval Epic Quests → (sub-outlier),Medieval Epic Quests,"Films featuring heroic protagonists, medieval settings, and action-packed adventures.",(sub-outlier),9.596512,9.707709
tt0011565,28,0.6215760229481758,41,0.02832147236203014,-1,LA Noir Thrillers → (sub-outlier),LA Noir Thrillers,Character-driven crime thrillers set in Los Angeles and California,(sub-outlier),10.804218,7.085164
tt0012349,11,1.0,8,0.015401251823397823,-1,Family Adventure Fantasies → (sub-outlier),Family Adventure Fantasies,"These films celebrate wholesome, adventurous storytelling with lovable family protagonists.",(sub-outlier),9.704438,11.630477
tt0013075,-1,0.0,23,0.04209397568408921,-1,Outlier,,,,11.272373,8.702663
tt0013140,25,0.5663713214084528,24,0.0336201904976332,-1,French Romantic Turmoil → (sub-outlier),French Romantic Turmoil,Exploring the complexities and passions of love in France.,(sub-outlier),10.681093,7.964245
tt0013201,11,1.0,8,0.03973086794886232,-1,Family Adventure Fantasies → (sub-outlier),Family Adventure Fantasies,"These films celebrate wholesome, adventurous storytelling with lovable family protagonists.",(sub-outlier),9.881155,11.460514
tt0013442,21,0.7570153710469032,34,0.029342254907852947,-1,Dark Fantasy Atmosphere → (sub-outlier),Dark Fantasy Atmosphere,"These films combine fantastical elements with dark, foreboding atmospheres and a focus on mood.",(sub-outlier),8.349619,8.436665
tt0013572,-1,0.0,19,0.06985773397379438,-1,Outlier,,,,8.84354,10.3750725
tt0014142,25,0.9405430960722011,24,0.023419565790940636,-1,French Romantic Turmoil → (sub-outlier),French Romantic Turmoil,Exploring the complexities and passions of love in France.,(sub-outlier),10.610633,7.9236946
tt0014532,-1,0.0,19,0.06429891836146956,-1,Outlier,,,,8.8260145,9.83426
