feature,feature_id
Feature 0440,440
Feature 0234,234
Feature 0069,69
Feature 0404,404
Feature 0446,446
Feature 0351,351
Feature 0062,62
Feature 1058,1058
Feature 1031,1031
Feature 0038,38
Feature 0417,417
Feature 0144,144
Feature 0233,233
Feature 0434,434
Feature 0462,462
Feature 0001,1
Feature 0360,360
Feature 0206,206
Feature 0022,22
Feature 0171,171
Feature 0086,86
Feature 0483,483
Feature 0087,87
Feature 0137,137
Feature 0182,182
Feature 0041,41
Feature 0460,460
Feature 0454,454
Feature 1080,1080
Feature 0115,115
Feature 0255,255
Feature 0427,427
Feature 0043,43
Feature 0431,431
Feature 1050,1050
Feature 0111,111
Feature 0078,78
Feature 0084,84
Feature 0181,181
Feature 0211,211
Feature 0077,77
Feature 0257,257
Feature 0105,105
Feature 0149,149
Feature 1028,1028
Feature 0518,518
Feature 0471,471
Feature 0381,381
Feature 0093,93
Feature 0304,304
Feature 0411,411
Feature 1016,1016
Feature 0478,478
Feature 0177,177
Feature 0450,450
Feature 1020,1020
Feature 0243,243
Feature 0362,362
Feature 0187,187
Feature 1011,1011
Feature 0444,444
Feature 0298,298
Feature 1034,1034
Feature 0180,180
Feature 1067,1067
Feature 0044,44
Feature 0507,507
Feature 1079,1079
Feature 0258,258
Feature 1041,1041
Feature 1061,1061
Feature 1052,1052
Feature 1078,1078
Feature 0293,293
Feature 0119,119
Feature 0425,425
Feature 0338,338
Feature 0039,39
Feature 0052,52
Feature 0279,279
Feature 0438,438
Feature 0215,215
Feature 0192,192
Feature 0420,420
Feature 0367,367
Feature 0162,162
Feature 0242,242
Feature 0134,134
Feature 0303,303
Feature 0152,152
Feature 0352,352
Feature 0122,122
Feature 0131,131
Feature 0107,107
Feature 0488,488
Feature 0118,118
Feature 0308,308
Feature 0116,116
Feature 0331,331
Feature 0006,6
Feature 0482,482
Feature 1007,1007
Feature 0201,201
Feature 0437,437
Feature 0366,366
Feature 0519,519
Feature 1046,1046
Feature 0288,288
Feature 0221,221
Feature 0295,295
Feature 0355,355
Feature 0141,141
Feature 1081,1081
Feature 0419,419
Feature 1003,1003
Feature 0374,374
Feature 0227,227
Feature 0074,74
Feature 0455,455
Feature 0315,315
Feature 0496,496
Feature 1037,1037
Feature 0382,382
Feature 0309,309
Feature 0099,99
Feature 0068,68
Feature 0468,468
Feature 1030,1030
Feature 0129,129
Feature 1014,1014
Feature 0432,432
Feature 0028,28
Feature 0218,218
Feature 0400,400
Feature 0259,259
Feature 0284,284
Feature 0125,125
Feature 0250,250
Feature 0318,318
Feature 0387,387
Feature 1015,1015
Feature 1076,1076
Feature 0388,388
Feature 0262,262
Feature 1055,1055
Feature 0053,53
Feature 0220,220
Feature 0354,354
Feature 0157,157
Feature 0473,473
Feature 0004,4
Feature 0341,341
Feature 0154,154
Feature 0379,379
Feature 0445,445
Feature 0190,190
Feature 1074,1074
Feature 0337,337
Feature 1091,1091
Feature 1077,1077
Feature 0371,371
Feature 0292,292
Feature 0398,398
Feature 0447,447
Feature 0092,92
Feature 0517,517
Feature 0026,26
Feature 1056,1056
Feature 0470,470
Feature 0228,228
Feature 0501,501
Feature 1008,1008
Feature 0359,359
Feature 0169,169
Feature 0127,127
Feature 0364,364
Feature 0299,299
Feature 0439,439
Feature 0175,175
Feature 0449,449
Feature 0491,491
Feature 0163,163
Feature 0504,504
Feature 1039,1039
Feature 0021,21
Feature 0142,142
Feature 0133,133
Feature 0335,335
Feature 0239,239
Feature 0294,294
Feature 0145,145
Feature 0042,42
Feature 0416,416
Feature 0368,368
Feature 0477,477
Feature 0191,191
Feature 0521,521
Feature 1032,1032
Feature 0083,83
Feature 0076,76
Feature 0156,156
Feature 1048,1048
Feature 0075,75
Feature 0305,305
Feature 0475,475
Feature 0317,317
Feature 0183,183
Feature 0378,378
Feature 1033,1033
Feature 0276,276
Feature 1085,1085
Feature 1012,1012
Feature 0046,46
Feature 0408,408
Feature 0266,266
Feature 0140,140
Feature 1009,1009
Feature 0017,17
Feature 1006,1006
Feature 0500,500
Feature 0493,493
Feature 0153,153
Feature 0034,34
Feature 0457,457
Feature 0110,110
Feature 0019,19
Feature 0320,320
Feature 0273,273
Feature 0196,196
Feature 0282,282
Feature 0158,158
Feature 0479,479
Feature 0383,383
Feature 1086,1086
Feature 0329,329
Feature 0265,265
Feature 0508,508
Feature 0395,395
Feature 0089,89
Feature 0178,178
Feature 1023,1023
Feature 0061,61
Feature 0467,467
Feature 0106,106
Feature 0232,232
Feature 0238,238
Feature 0029,29
Feature 0011,11
