tt_code,primary_cluster,primary_probability,secondary_cluster,secondary_probability,sub_cluster,rail_label,cluster_name,cluster_description,sub_cluster_name,umap_x,umap_y
tt0000679,-1,0.0,16,0.027734786178254128,-1,Outlier,,,,7.5186296,0.65053415
tt0003740,14,1.0,12,1.5931400962874454e-307,15,The Biographical Odyssey Cluster → Epic Historical Quests,The Biographical Odyssey Cluster,"These films share a common narrative thread, exploring the lives and struggles of historical figures.",Epic Historical Quests,9.460481,1.2527487
tt0005059,13,0.7547639043377808,12,0.09061833071763513,2,War and Human Struggle → Romantic Realities of War,War and Human Struggle,Films that explore the human experience during wartime and its aftermath.,Romantic Realities of War,10.8118515,2.4361784
tt0005078,-1,0.0,30,0.08730106811453633,-1,Outlier,,,,6.4491863,3.1948535
tt0005808,41,1.0,43,0.036988666650460134,0,High-Octane Thrill Ride → Thrill Ride with a Twist,High-Octane Thrill Ride,"These films combine intense action, suspenseful atmosphere, and relentless chases to create a pulse-pounding cinematic experience.",Thrill Ride with a Twist,9.843646,4.5999155
tt0006517,13,0.9917703563000041,12,0.09568182776352094,2,War and Human Struggle → Romantic Realities of War,War and Human Struggle,Films that explore the human experience during wartime and its aftermath.,Romantic Realities of War,10.894076,2.3762696
tt0006736,0,0.9901524901638247,3,0.0007021198287679155,1,The American Frontier Odyssey → Romantic Trailblazers,The American Frontier Odyssey,These films share a common narrative thread of rugged individualism and pursuit of justice on the open range.,Romantic Trailblazers,-5.4232807,-0.20538929
tt0006886,27,1.0,20,2.375355665983334e-307,1,The European Noir Thrillers → European Comedy Thrillers,The European Noir Thrillers,"Characterized by dark, suspenseful explorations of crime and law enforcement in post-war Europe.",European Comedy Thrillers,6.6716533,4.029432
tt0008735,31,0.9213059833185929,30,0.08210407623553513,-1,Romantic Melancholy Era Films → (sub-outlier),Romantic Melancholy Era Films,"Characterized by poignant, introspective portrayals of love and loss.",(sub-outlier),6.7128844,2.4334261
tt0008807,12,1.0,13,4.828528878334062e-307,-1,Asian Dramas of Sorrow → (sub-outlier),Asian Dramas of Sorrow,"These films share a common focus on the struggles and cultural nuances of East Asia, often with melancholic and reflective narratives.",(sub-outlier),10.588809,1.8318288
tt0008854,-1,0.0,22,0.07106283924640075,-1,Outlier,,,,7.2399383,3.761507
tt0009677,-1,0.0,14,0.014084871298352558,-1,Outlier,,,,8.152876,2.3758879
tt0009900,0,1.0,3,1.1108224302748807e-308,1,The American Frontier Odyssey → Romantic Trailblazers,The American Frontier Odyssey,These films share a common narrative thread of rugged individualism and pursuit of justice on the open range.,Romantic Trailblazers,-5.433963,-0.200095
tt0010281,-1,0.0,30,0.06684441825326677,-1,Outlier,,,,6.66387,2.738449
tt0010323,-1,0.0,26,0.04847599689304439,-1,Outlier,,,,6.9279246,4.678635
tt0010849,-1,0.0,21,0.06928120253015944,-1,Outlier,,,,6.6147127,2.7305882
tt0011157,-1,0.0,31,0.06542040067324623,-1,Outlier,,,,6.4547296,2.7468824
tt0011387,9,1.0,14,1.51483226704174e-307,0,Epic Quests of Old England → Medieval Action Sagas,Epic Quests of Old England,"These films unite as sweeping, action-packed tales of heroic struggle and adventure set against the richly detailed backdrop of medieval Britain.",Medieval Action Sagas,8.546902,1.8321624
tt0011565,32,0.48728419771620374,43,0.027921343102245828,0,LA Noir Thrillers → Psychological Crime Dramas,LA Noir Thrillers,"Characterized by gritty, crime-ridden narratives set against the dark backdrop of Los Angeles.",Psychological Crime Dramas,7.485553,5.3035545
tt0012349,16,1.0,10,0.03412623342212002,6,Wholesome Family Fantasies → Heartwarming Life Stories,Wholesome Family Fantasies,"These films share a common blend of lighthearted adventure, heartwarming family dynamics, and uplifting emotional tone.",Heartwarming Life Stories,6.611007,-0.24680187
tt0013075,-1,0.0,21,0.06073109374528415,-1,Outlier,,,,6.6629705,2.6081877
tt0013140,25,0.37392367477450345,31,0.03126189853407497,1,French Romantic Dramas → Dark French Romantics,French Romantic Dramas,Character-driven love stories set against the backdrop of France.,Dark French Romantics,6.4145384,3.4370446
tt0013201,16,1.0,10,0.025287595493482556,12,Wholesome Family Fantasies → Family Friendly Follies,Wholesome Family Fantasies,"These films share a common blend of lighthearted adventure, heartwarming family dynamics, and uplifting emotional tone.",Family Friendly Follies,6.4384394,-0.15941235
tt0013442,22,1.0,38,1.4979417755812087e-307,4,Dark Fantasy Horror Realm → Dark European Gothic,Dark Fantasy Horror Realm,"These films unite as eerie, supernatural tales that explore the darker corners of human experience.",Dark European Gothic,6.881164,2.932807
tt0013572,14,0.9043749293722448,9,0.04270850795461866,11,The Biographical Odyssey Cluster → Comedic Triumphs,The Biographical Odyssey Cluster,"These films share a common narrative thread, exploring the lives and struggles of historical figures.",Comedic Triumphs,9.15374,1.0234904
tt0014142,25,0.43814633310874407,31,0.04041664081204821,1,French Romantic Dramas → Dark French Romantics,French Romantic Dramas,Character-driven love stories set against the backdrop of France.,Dark French Romantics,6.231359,3.227364
