movie_id,movie_name,cluster,genre
tt0000679,The Fairylogue and Radio-Plays,1,"Fantasy, Adventure"
tt0003740,Cabiria,0,"Adventure, Drama, History"
tt0005059,The Captive,1,"Drama, Romance, War"
tt0005078,The Cheat,4,"Drama, Romance"
tt0005808,The New Exploits of Elaine,4,"Action, Adventure"
tt0006517,Civilization,2,"Drama, War"
tt0006736,The Good Bad-Man,1,"Romance, Western"
tt0006886,Judex,2,"Adventure, Crime"
tt0008735,The Vicar of Wakefield,1,"Romance, Drama"
tt0008807,El último malón,2,"History, War"
tt0008854,The Eyes of the Mummy,2,"Drama, Horror"
tt0009677,Das Tagebuch einer Verlorenen,0,"Drama, Thriller"
tt0009900,Back to God's Country,1,"Adventure, Romance, Western"
tt0010281,Ich möchte kein Mann sein,1,"Comedy, Romance"
tt0010323,The Cabinet of Dr. Caligari,4,"Horror, Mystery, Thriller"
tt0010849,A Virtuous Vamp,1,"Comedy, Romance"
tt0011157,Erotikon,1,"Comedy, Romance"
tt0011387,The Last of the Mohicans,0,"Action, Adventure, Drama"
tt0011565,The Penalty,4,"Crime, Drama, Horror"
tt0012349,The Kid,3,"Comedy, Drama, Family"
tt0013075,Dr. Jack,1,"Comedy, Romance"
tt0013140,Foolish Wives,4,"Drama, Thriller"
tt0013201,Grandma's Boy,1,"Comedy, Family"
tt0013442,Nosferatu,4,"Fantasy, Horror"
tt0013572,Samson und Delila,2,"Adventure, History"
tt0014142,The Hunchback of Notre Dame,0,"Drama, Horror, Romance"
tt0014532,The Ten Commandments,0,"Biography, Drama, Fantasy"
tt0014586,Waxworks,4,"Fantasy, Horror"
tt0014646,"Aelita, the Queen of Mars",2,"Adventure, Comedy, Drama"
tt0014770,The Chechahcos,1,"Adventure, Drama, Western"
tt0015163,The Navigator,3,"Action, Comedy, Romance"
tt0015167,The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks,1,"Comedy, Fantasy, Romance"
tt0015175,Die Nibelungen: Siegfried,0,"Adventure, Drama, Fantasy"
tt0015324,Sherlock Jr.,3,"Action, Comedy, Romance"
tt0015624,The Big Parade,0,"Drama, Romance, War"
tt0015864,The Gold Rush,3,"Adventure, Comedy, Drama"
tt0016185,Orochi,4,"Action, Adventure"
tt0016361,Smouldering Fires,1,"Drama, Romance"
tt0016473,The Unholy Three,2,"Crime, Drama, Romance"
tt0016481,Variety,4,"Crime, Drama, Romance"
tt0016629,The Bat,2,"Mystery, Thriller"
tt0016832,Exit Smiling,1,"Comedy, Romance"
tt0017075,The Lodger: A Story of the London Fog,4,"Crime, Drama, Mystery"
tt0017120,Mare Nostrum,0,"Drama, War"
tt0017132,Memory Lane,1,"Comedy, Romance"
tt0017136,Metropolis,0,"Drama, Sci-Fi"
tt0017374,The Shamrock Handicap,1,"Romance, Drama"
tt0017567,The Winning of Barbara Worth,1,"Drama, Romance, Western"
tt0017621,A Daughter of Destiny,2,"Drama, Fantasy, Horror"
tt0017623,Am Rande der Welt,4,"Drama, War"
tt0017632,Annie Laurie,2,"Drama, Romance"
tt0017736,Casanova,2,"Biography, Drama"
tt0017825,When Boys Leave Home,2,"Adventure, Drama, Thriller"
tt0017925,The General,3,"Action, Adventure, Comedy"
tt0017938,La glace à trois faces,2,"Drama, Romance"
tt0017998,Fanny Hawthorne,2,"Drama, Romance"
tt0018051,The Kid Brother,3,"Comedy, Drama, Family"
tt0018054,The King of Kings,0,"Biography, Drama, Family"
tt0018087,The Love of Jeanne Ney,2,"Drama, Romance"
tt0018217,October (Ten Days that Shook the World),0,"Drama, History"
tt0018451,The Student Prince in Old Heidelberg,1,"Drama, Romance"
tt0018455,Sunrise,0,"Drama, Romance"
tt0018742,The Cameraman,3,"Comedy, Drama, Family"
tt0019195,The Mysterious Lady,2,"Drama, Romance"
tt0019412,Speedy,3,"Action, Comedy, Family"
tt0019563,West of Zanzibar,4,"Drama, Mystery"
tt0019777,The Cocoanuts,1,"Adventure, Comedy, Musical"
tt0019889,The Flying Scotsman,2,"Crime, Drama"
tt0019901,Woman in the Moon,0,"Adventure, Comedy, Drama"
tt0020230,The New Babylon,0,"Drama, History"
tt0020269,Piccadilly,2,"Crime, Drama"
tt0020590,The Wild Party,1,"Drama, Romance"
tt0020620,Abraham Lincoln,0,"Biography, Drama, War"
tt0020629,All Quiet on the Western Front,4,"Drama, War"
tt0020641,Anna Christie,1,"Drama, Romance"
