cluster,movie_id,movie_name,genre
1,tt0000679,The Fairylogue and Radio-Plays,"Fantasy, Adventure"
0,tt0003740,Cabiria,"Adventure, Drama, History"
1,tt0005059,The Captive,"Drama, Romance, War"
4,tt0005078,The Cheat,"Drama, Romance"
4,tt0005808,The New Exploits of Elaine,"Action, Adventure"
2,tt0006517,Civilization,"Drama, War"
1,tt0006736,The Good Bad-Man,"Romance, Western"
2,tt0006886,Judex,"Adventure, Crime"
1,tt0008735,The Vicar of Wakefield,"Romance, Drama"
2,tt0008807,El último malón,"History, War"
2,tt0008854,The Eyes of the Mummy,"Drama, Horror"
0,tt0009677,Das Tagebuch einer Verlorenen,"Drama, Thriller"
1,tt0009900,Back to God's Country,"Adventure, Romance, Western"
1,tt0010281,Ich möchte kein Mann sein,"Comedy, Romance"
4,tt0010323,The Cabinet of Dr. Caligari,"Horror, Mystery, Thriller"
1,tt0010849,A Virtuous Vamp,"Comedy, Romance"
1,tt0011157,Erotikon,"Comedy, Romance"
0,tt0011387,The Last of the Mohicans,"Action, Adventure, Drama"
4,tt0011565,The Penalty,"Crime, Drama, Horror"
3,tt0012349,The Kid,"Comedy, Drama, Family"
1,tt0013075,Dr. Jack,"Comedy, Romance"
4,tt0013140,Foolish Wives,"Drama, Thriller"
1,tt0013201,Grandma's Boy,"Comedy, Family"
4,tt0013442,Nosferatu,"Fantasy, Horror"
2,tt0013572,Samson und Delila,"Adventure, History"
0,tt0014142,The Hunchback of Notre Dame,"Drama, Horror, Romance"
0,tt0014532,The Ten Commandments,"Biography, Drama, Fantasy"
4,tt0014586,Waxworks,"Fantasy, Horror"
2,tt0014646,"Aelita, the Queen of Mars","Adventure, Comedy, Drama"
1,tt0014770,The Chechahcos,"Adventure, Drama, Western"
3,tt0015163,The Navigator,"Action, Comedy, Romance"
1,tt0015167,The Extraordinary Adventures of Mr. West in the Land of the Bolsheviks,"Comedy, Fantasy, Romance"
0,tt0015175,Die Nibelungen: Siegfried,"Adventure, Drama, Fantasy"
3,tt0015324,Sherlock Jr.,"Action, Comedy, Romance"
0,tt0015624,The Big Parade,"Drama, Romance, War"
3,tt0015864,The Gold Rush,"Adventure, Comedy, Drama"
4,tt0016185,Orochi,"Action, Adventure"
1,tt0016361,Smouldering Fires,"Drama, Romance"
2,tt0016473,The Unholy Three,"Crime, Drama, Romance"
4,tt0016481,Variety,"Crime, Drama, Romance"
2,tt0016629,The Bat,"Mystery, Thriller"
1,tt0016832,Exit Smiling,"Comedy, Romance"
4,tt0017075,The Lodger: A Story of the London Fog,"Crime, Drama, Mystery"
0,tt0017120,Mare Nostrum,"Drama, War"
1,tt0017132,Memory Lane,"Comedy, Romance"
0,tt0017136,Metropolis,"Drama, Sci-Fi"
1,tt0017374,The Shamrock Handicap,"Romance, Drama"
1,tt0017567,The Winning of Barbara Worth,"Drama, Romance, Western"
2,tt0017621,A Daughter of Destiny,"Drama, Fantasy, Horror"
4,tt0017623,Am Rande der Welt,"Drama, War"
2,tt0017632,Annie Laurie,"Drama, Romance"
2,tt0017736,Casanova,"Biography, Drama"
2,tt0017825,When Boys Leave Home,"Adventure, Drama, Thriller"
3,tt0017925,The General,"Action, Adventure, Comedy"
2,tt0017938,La glace à trois faces,"Drama, Romance"
2,tt0017998,Fanny Hawthorne,"Drama, Romance"
3,tt0018051,The Kid Brother,"Comedy, Drama, Family"
0,tt0018054,The King of Kings,"Biography, Drama, Family"
2,tt0018087,The Love of Jeanne Ney,"Drama, Romance"
0,tt0018217,October (Ten Days that Shook the World),"Drama, History"
1,tt0018451,The Student Prince in Old Heidelberg,"Drama, Romance"
0,tt0018455,Sunrise,"Drama, Romance"
3,tt0018742,The Cameraman,"Comedy, Drama, Family"
2,tt0019195,The Mysterious Lady,"Drama, Romance"
3,tt0019412,Speedy,"Action, Comedy, Family"
4,tt0019563,West of Zanzibar,"Drama, Mystery"
1,tt0019777,The Cocoanuts,"Adventure, Comedy, Musical"
2,tt0019889,The Flying Scotsman,"Crime, Drama"
0,tt0019901,Woman in the Moon,"Adventure, Comedy, Drama"
0,tt0020230,The New Babylon,"Drama, History"
2,tt0020269,Piccadilly,"Crime, Drama"
1,tt0020590,The Wild Party,"Drama, Romance"
0,tt0020620,Abraham Lincoln,"Biography, Drama, War"
4,tt0020629,All Quiet on the Western Front,"Drama, War"
1,tt0020641,Anna Christie,"Drama, Romance"
2,tt0020668,The Bat Whispers,"Crime, Drama, Horror"
1,tt0020691,The Big Trail,"Adventure, Romance, Western"
1,tt0020842,Three from the Filling Station,"Comedy, Musical, Romance"
1,tt0020876,Feet First,"Adventure, Comedy, Family"
1,tt0021016,Just Imagine,"Comedy, Fantasy, Musical"
1,tt0021030,Knowing Men,"Comedy, Romance"
4,tt0021165,Murder!,"Crime, Mystery, Thriller"
1,tt0021192,Numbered Men,"Crime, Drama"
1,tt0021309,The Story of the Fox,"Animation, Adventure, Comedy"
1,tt0021310,Romance,"Drama, Romance"
2,tt0021505,The Unholy Three,"Crime, Drama, Romance"
1,tt0021616,Ariane,"Drama, Romance"
3,tt0021749,City Lights,"Comedy, Drama, Romance"
4,tt0021815,Drácula,"Drama, Fantasy, Horror"
4,tt0021818,The 3 Penny Opera,"Comedy, Crime, Drama"
4,tt0021884,Frankenstein,"Drama, Horror, Sci-Fi"
2,tt0021890,The Front Page,"Comedy, Crime, Drama"
3,tt0022034,Congress Dances,"Comedy, History, Musical"
4,tt0022100,M,"Crime, Mystery, Thriller"
2,tt0022149,Millie,"Drama, Romance"
2,tt0022290,Quick Millions,"Crime, Drama"
1,tt0022578,Working Girls,"Drama, Romance"
1,tt0022615,Air Mail,"Adventure, Drama"
2,tt0022645,Au nom de la loi,"Crime, Drama"
1,tt0022689,Bird of Paradise,"Adventure, Drama, Romance"
1,tt0022699,A Blonde Dream,"Comedy, Musical, Romance"
4,tt0022835,Dr. Jekyll and Mr. Hyde,"Horror, Sci-Fi"
2,tt0022867,Ecstasy,"Drama, Romance"
2,tt0022879,A Farewell to Arms,"Drama, Romance, War"
2,tt0022913,Freaks,"Drama, Horror"
2,tt0023194,The Mask of Fu Manchu,"Adventure, Horror, Sci-Fi"
4,tt0023284,Night at the Crossroads,"Crime, Drama, Mystery"
1,tt0023382,Red Dust,"Comedy, Drama, Romance"
1,tt0023395,East of Shanghai,"Comedy, Drama, Romance"
1,tt0023525,The Strange Love of Molly Louvain,"Crime, Drama, Romance"
1,tt0023589,Three Wise Girls,"Comedy, Drama, Romance"
1,tt0023616,Trailing the Killer,"Adventure, Thriller, Western"
1,tt0023622,Trouble in Paradise,"Comedy, Crime, Romance"
4,tt0023649,Vampyr,"Fantasy, Horror"
2,tt0023694,White Zombie,Horror
2,tt0023731,"20, 000 Years in Sing Sing","Crime, Drama, Film-Noir"
1,tt0023808,The Big Chance,"Action, Adventure, Comedy"
4,tt0023902,Godfather Mendoza,"Drama, War"
2,tt0023973,The Eagle and the Hawk,"Action, Drama, War"
0,tt0024044,Gabriel Over the White House,"Drama, Fantasy, Romance"
2,tt0024055,The Ghoul,"Action, Drama, Horror"
1,tt0024083,Hallelujah I'm a Bum,"Comedy, Drama, Musical"
2,tt0024151,I Cover the Waterfront,"Crime, Drama, Romance"
4,tt0024184,The Invisible Man,"Horror, Sci-Fi"
4,tt0024188,Island of Lost Souls,"Film-Noir, Horror, Sci-Fi"
0,tt0024216,King Kong,"Adventure, Horror, Sci-Fi"
1,tt0024262,The Little Giant,"Comedy, Crime, Romance"
3,tt0024264,Little Women,"Drama, Family, Romance"
1,tt0024302,Man's Castle,"Drama, Romance"
1,tt0024480,July 14,"Comedy, Romance"
2,tt0024500,Riders of Destiny,"Music, Romance, Western"
1,tt0024548,She Done Him Wrong,"Comedy, Drama, History"
1,tt0024645,Tarzan the Fearless,"Adventure, Family"
1,tt0024647,The Telegraph Trail,"Action, Adventure, Western"
