cluster_id,name,description,movie_count,avg_confidence,n_sub_rails,top_features,unique_differentiators
7,Cosmic Science Odyssey Films,"Characterized by futuristic, sci-fi narratives exploring scientific concepts and technological advancements.",762,0.972,2,"genre_Sci-Fi (+0.78), Feature 0276 (+0.53), Feature 0019 (+0.47), Feature 0518 (+0.37), Feature 0041 (+0.32)","Feature 0478 (+0.25), Feature 0382 (+0.24), Feature 0471 (+0.21), Feature 0395 (+0.20), Feature 0491 (+0.14)"
27,Romantic Drama Turmoil,"These films explore intense, emotionally charged relationships and their struggles.",573,0.961,0,"genre_Romance (+0.81), Feature 1006 (+0.32), genre_Comedy (+0.31), Feature 0500 (+0.28), Feature 0044 (+0.28)","Feature 1003 (+0.15), Feature 1032 (+0.09), Feature 0521 (+0.09), Feature 0175 (+0.08), Feature 0374 (+0.08)"
4,Beneath the Neon Veil,Unifying Asian-driven narratives with supernatural and martial arts elements.,528,0.974,3,"Feature 1016 (+0.80), Feature 0417 (+0.79), Feature 0038 (+0.77), Feature 0432 (+0.48), Feature 0022 (+0.35)","Feature 0127 (+0.08), Feature 1008 (+0.07), Feature 0092 (+0.06), Feature 0468 (+0.05), Feature 0259 (+0.05)"
34,Psychological Horror Subgenre,Character-driven horror films emphasizing psychological terror and unease.,489,0.966,0,"genre_Horror (+0.88), Feature 0145 (+0.41), Feature 0034 (+0.36), Feature 0011 (+0.32), Feature 0416 (+0.31)","Feature 0021 (+0.14), Feature 0163 (+0.13), Feature 0257 (+0.10), Feature 0468 (+0.09), Feature 0305 (+0.08)"
8,Whimsical Animated Adventures,"These films unite with their charming protagonists, stunning visuals, and joyful emotional expression.",389,0.991,0,"genre_Animation (+0.96), Feature 0479 (+0.62), Feature 0303 (+0.60), Feature 0228 (+0.58), genre_Adventure (+0.55)","Feature 0243 (+0.30), Feature 0158 (+0.30), Feature 0320 (+0.28), Feature 0239 (+0.26), Feature 0142 (+0.26)"
11,Family Adventure Fantasies,"These films celebrate wholesome, adventurous storytelling with lovable family protagonists.",341,0.955,2,"genre_Family (+0.87), Feature 0479 (+0.50), Feature 1077 (+0.40), Feature 0122 (+0.34), Feature 0238 (+0.32)","Feature 0243 (+0.23), Feature 0131 (+0.22), Feature 1041 (+0.22), Feature 0521 (+0.22), Feature 0398 (+0.18)"
12,War and Mourning Films,Characterized by somber narratives exploring the human cost of war and conflict.,214,0.845,2,"genre_War (+0.97), Feature 0028 (+0.70), Feature 1028 (+0.38), Feature 0087 (+0.38), genre_Drama (+0.25)","Feature 0191 (+0.21), Feature 1076 (+0.17), Feature 0371 (+0.16), Feature 0163 (+0.14), Feature 0192 (+0.13)"
2,Indian Family Thrillers,"These films unite by exploring the complexities of family, culture, and justice in India.",199,0.976,2,"Feature 0144 (+0.95), Feature 1016 (+0.41), Feature 0432 (+0.28), genre_Action (+0.15), Feature 0449 (+0.15)","Feature 0266 (+0.09), Feature 0493 (+0.07), Feature 0337 (+0.06), Feature 0298 (+0.06), Feature 0258 (+0.06)"
35,Mood Horror Mysteries,These films combine eerie atmosphere and supernatural elements with a focus on mood and suspense.,190,0.675,0,"genre_Mystery (+0.90), genre_Horror (+0.84), Feature 0145 (+0.62), Feature 0034 (+0.54), Feature 0416 (+0.51)","Feature 0468 (+0.27), Feature 0163 (+0.26), Feature 0257 (+0.24), Feature 0305 (+0.22), Feature 0491 (+0.20)"
17,The Shadowed Biographical Journey,"These films explore the complexities of human nature through deeply personal, psychologically nuanced biographical narratives.",173,0.817,0,"genre_Biography (+0.87), Feature 1046 (+0.71), Feature 0039 (+0.52), Feature 0288 (+0.33), genre_Drama (+0.25)","Feature 1086 (+0.12), Feature 0279 (+0.11), Feature 0084 (+0.10), Feature 0293 (+0.10), Feature 0255 (+0.10)"
